Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Total
2020-03-01,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-03-04,7.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0
2020-03-05,6.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,11.0
2020-03-06,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0
2020-03-07,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-03-08,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0
2020-03-09,9.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0
2020-03-10,14.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0
2020-03-11,4.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,15.0
2020-03-12,13.0,6.0,7.0,3.0,0.0,0.0,0.0,1.0,30.0
2020-03-13,14.0,9.0,8.0,4.0,5.0,1.0,0.0,0.0,41.0
2020-03-14,20.0,13.0,11.0,3.0,0.0,1.0,0.0,0.0,48.0
2020-03-15,22.0,8.0,15.0,1.0,0.0,1.0,0.0,0.0,47.0
2020-03-16,37.0,14.0,7.0,9.0,14.0,0.0,0.0,1.0,82.0
2020-03-17,39.0,23.0,10.0,3.0,3.0,1.0,0.0,0.0,79.0
2020-03-18,57.0,27.0,16.0,5.0,4.0,3.0,0.0,1.0,113.0
2020-03-19,40.0,29.0,50.0,5.0,17.0,0.0,0.0,1.0,142.0
2020-03-20,129.0,28.0,40.0,8.0,12.0,0.0,2.0,2.0,221.0
2020-03-21,97.0,51.0,37.0,7.0,26.0,6.0,3.0,3.0,230.0
2020-03-22,136.0,67.0,38.0,43.0,30.0,6.0,0.0,10.0,330.0
2020-03-23,35.0,59.0,60.0,34.0,20.0,6.0,0.0,13.0,227.0
2020-03-24,325.0,56.0,78.0,36.0,35.0,0.0,1.0,7.0,538.0
2020-03-25,190.0,55.0,46.0,27.0,30.0,14.0,0.0,5.0,367.0
2020-03-26,186.0,54.0,50.0,38.0,26.0,5.0,6.0,9.0,374.0
2020-03-27,212.0,54.0,62.0,22.0,24.0,11.0,0.0,9.0,394.0
2020-03-28,174.0,111.0,70.0,30.0,23.0,0.0,2.0,9.0,419.0
2020-03-29,127.0,84.0,31.0,12.0,33.0,4.0,0.0,6.0,297.0
2020-03-30,114.0,52.0,33.0,6.0,44.0,3.0,0.0,1.0,253.0
2020-03-31,0.0,96.0,54.0,32.0,9.0,3.0,2.0,2.0,198.0
2020-04-01,150.0,51.0,38.0,30.0,28.0,3.0,2.0,4.0,306.0
2020-04-02,116.0,68.0,54.0,18.0,8.0,3.0,2.0,4.0,273.0
2020-04-03,91.0,49.0,38.0,11.0,22.0,6.0,2.0,3.0,222.0
2020-04-04,104.0,30.0,27.0,0.0,0.0,0.0,0.0,2.0,163.0
2020-04-05,87.0,20.0,7.0,13.0,31.0,2.0,3.0,3.0,166.0
2020-04-06,57.0,23.0,14.0,2.0,7.0,4.0,2.0,0.0,109.0
2020-04-07,49.0,33.0,0.0,0.0,0.0,3.0,0.0,0.0,85.0
